run_id,run_url,ran_at_utc,commit_sha,fault_profile,fault_magnitude,target_category,iteration,scenario_name,outcome,duration_seconds
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:50:59Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,2,"LoginFunctionalityWithValidation(""invalid"",""unsuccessful"",""1"",null)",Passed,4.11
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:50:59Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,2,LogoutFunctionality,Passed,6.855
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:50:59Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,2,"LoginFieldValidation(""invalid"",""bad email"",""3"",null)",Passed,6.101
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:50:59Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,2,"LoginFieldValidation(""empty"",""empty login"",""2"",null)",Passed,5.802
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:50:59Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,2,"LoginFunctionalityWithValidation(""valid"",""successful"",""0"",null)",Passed,7.099
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:51:29Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,3,"LoginFieldValidation(""invalid"",""bad email"",""3"",null)",Passed,5.899
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:51:29Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,3,"LoginFunctionalityWithValidation(""valid"",""successful"",""0"",null)",Passed,5.781
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:51:29Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,3,LogoutFunctionality,Passed,6.811
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:51:29Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,3,"LoginFunctionalityWithValidation(""invalid"",""unsuccessful"",""1"",null)",Passed,3.878
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:51:29Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,3,"LoginFieldValidation(""empty"",""empty login"",""2"",null)",Passed,5.932
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:52:00Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,4,"LoginFieldValidation(""invalid"",""bad email"",""3"",null)",Passed,5.816
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:52:00Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,4,"LoginFunctionalityWithValidation(""valid"",""successful"",""0"",null)",Passed,6.462
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:52:00Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,4,"LoginFieldValidation(""empty"",""empty login"",""2"",null)",Passed,5.767
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:52:00Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,4,LogoutFunctionality,Passed,7.035
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:52:00Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,4,"LoginFunctionalityWithValidation(""invalid"",""unsuccessful"",""1"",null)",Passed,3.905
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:52:33Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,5,"LoginFieldValidation(""empty"",""empty login"",""2"",null)",Passed,6.823
